"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Electionlag","Election","MaizeYield","ForexRev","WorldPrice","GasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"538","Nigeria 2017",2017-01-01,"2017",375744.658045,148444.444444444,1,315,"Nigeria",5.79056686533654,0.516595622395709,412.393650793651,"0","0",16641,39608.5252963652,233.75,74.26,6.1633285184782,1.14272419975093,189.311981745207,-1.09980297088623
"539","Nigeria 2017",2017-02-01,"2017",375744.658045,158333.333333333,2,314,"Nigeria",5.79056686533654,0.524330667177547,399.936305732484,"0","0",16641,39608.5252963652,191.88,68.75,6.43732623075128,1.26081647820778,249.165735553408,-1.09980297088623
"540","Nigeria 2017",2017-03-01,"2017",375744.658045,152000,3,315,"Nigeria",5.79056686533654,0.533334929833804,420.571428571429,"0","0",16641,39608.5252963652,223.5,64.42,6.25013217063741,1.14734299516908,240.56338028169,-1.09980297088623
"541","Nigeria 2017",2017-04-01,"2017",375744.658045,152375,4,318.471344,"Nigeria",5.79056686533654,0.541860242348772,501.495669889847,"0","0",16641,39608.5252963652,207.88,67.18,6.29370912334721,0.954061059907834,219.507482233721,-1.09980297088623
"542","Nigeria 2017",2017-05-01,"2017",375744.658045,150638.888888889,5,324,"Nigeria",5.79056686533654,0.552061880358255,411.728395061728,"0","0",16641,39608.5252963652,178.75,68.16,6.34978813661244,1.1292270531401,262.616437342695,-1.09980297088623
"543","Nigeria 2017",2017-06-01,"2017",375744.658045,156166.666666667,6,345,"Nigeria",5.79056686533654,0.560778772929738,413.333333333333,"0","0",16641,39608.5252963652,191,64.96,6.26018533629287,1.09513791491351,338.252850287695,-1.09980297088623
"544","Nigeria 2017",2017-07-01,"2017",375744.658045,155222.222222222,7,314.299988,"Nigeria",5.79056686533654,0.567603812443125,403.945290637428,"0","0",16641,39608.5252963652,181,65.75,6.43892618635768,1.22260729538612,153.957714881371,-1.09980297088623
"545","Nigeria 2017",2017-08-01,"2017",375744.658045,165000,8,350,"Nigeria",5.79056686533654,0.573111739067963,378.514285714286,"0","0",16641,39608.5252963652,192.63,67,6.3236399517344,1.24547101449275,264.275832204349,-1.09980297088623
"546","Nigeria 2017",2017-09-01,"2017",375744.658045,160941.176470588,9,351,"Nigeria",5.79056686533654,0.577589922889027,314.529914529915,"0","0",16641,39608.5252963652,219,70.17,6.17179626727304,1.45780051150895,146.0016143615,-1.09980297088623
"547","Nigeria 2017",2017-10-01,"2017",375744.658045,154750,10,357,"Nigeria",5.79056686533654,0.581996264188898,232.963585434174,"0","0",16641,39608.5252963652,252.5,69.77,5.89150481406485,1.86069161215852,229.702469998373,-1.09980297088623
"548","Nigeria 2017",2017-11-01,"2017",375744.658045,160923.076923077,11,357,"Nigeria",5.79056686533654,0.586546290531156,220.336134453782,"0","0",16641,39608.5252963652,280,73.88,5.83344363541136,2.04580570713294,115.595416043847,-1.09980297088623
"549","Nigeria 2017",2017-12-01,"2017",375744.658045,151000,12,357,"Nigeria",5.79056686533654,0.59001867905551,213.120448179272,"0","0",16641,39608.5252963652,214.63,73.29,6.03232040170028,1.98464854634352,113.355926749062,-1.09980297088623
"550","Nigeria 2018",2018-01-01,"2018",421737.297377,149846.153846154,1,357,"Nigeria",6.05597715767932,0.59473633794722,260.280112044818,"0","0",16716,42838.869124791,219.63,84.82,5.9920062750594,1.61263618000596,120.258488050056,-1.08356761932373
"551","Nigeria 2018",2018-02-01,"2018",421737.297377,142923.076923077,2,358,"Nigeria",6.05597715767932,0.599453996838929,262.122905027933,"0","0",16716,42838.869124791,232.5,71.03,5.80951075048575,1.52305069184865,128.551336146273,-1.08356761932373
"552","Nigeria 2018",2018-03-01,"2018",421737.297377,141384.615384615,3,355,"Nigeria",6.05597715767932,0.604459025815413,277.295774647887,"0","0",16716,42838.869124791,232.5,71.46,5.80373658405218,1.43625168005501,123.587197633886,-1.08356761932373
"553","Nigeria 2018",2018-04-01,"2018",421737.297377,141846.153846154,4,359,"Nigeria",6.05597715767932,0.609511949806025,300.857938718663,"0","0",16716,42838.869124791,230.63,73.52,5.79597358037643,1.31329303242495,184.401359086918,-1.08356761932373
"554","Nigeria 2018",2018-05-01,"2018",421737.297377,144769.230769231,5,359,"Nigeria",6.05597715767932,0.616145409262896,325.459610027855,"0","0",16716,42838.869124791,221.88,76.51,5.89373202284988,1.23903826402971,171.837302113648,-1.08356761932373
"555","Nigeria 2018",2018-06-01,"2018",421737.297377,146769.230769231,6,357,"Nigeria",6.05597715767932,0.623760716509411,316.240336134454,"0","0",16716,42838.869124791,224,78.34,5.92489532290083,1.30001851913173,122.114997989546,-1.08356761932373
"556","Nigeria 2018",2018-07-01,"2018",421737.297377,144307.692307692,7,360.5,"Nigeria",6.05597715767932,0.630825231093443,300.565658807212,"0","0",16716,42838.869124791,252.5,77.5,5.68901004337279,1.33181791953344,271.914903727221,-1.08356761932373
"557","Nigeria 2018",2018-08-01,"2018",421737.297377,146000,8,361.549988,"Nigeria",6.05597715767932,0.637434743043249,257.767952131698,"0","0",16716,42838.869124791,260,81.71,5.66170031954883,1.56659084080862,163.62303030303,-1.08356761932373
"558","Nigeria 2018",2018-09-01,"2018",421737.297377,145384.615384615,9,362,"Nigeria",6.05597715767932,0.642775037118636,242.554696132597,"0","0",16716,42838.869124791,267.5,89.17,5.59185841914968,1.65577070256541,105.336082474227,-1.08356761932373
"559","Nigeria 2018",2018-10-01,"2018",421737.297377,144307.692307692,10,363,"Nigeria",6.05597715767932,0.64751664351741,214.539944903581,"0","0",16716,42838.869124791,270,89.57,5.54160711121581,1.85299689652652,269.034124118767,-1.08356761932373
"560","Nigeria 2018",2018-11-01,"2018",421737.297377,143846.153846154,11,363.5,"Nigeria",6.05597715767932,0.65271325255041,219.243466299862,"0","0",16716,42838.869124791,305.6,97.36,5.19437910458367,1.80495832669746,154.973577242888,-1.08356761932373
"561","Nigeria 2018",2018-12-01,"2018",421737.297377,152000,12,363.5,"Nigeria",6.05597715767932,0.657526701470377,227.213425034388,"0","0",16716,42838.869124791,276.67,94.41,5.64536615749628,1.84037016624354,129.260719979861,-1.08356761932373
"562","Nigeria 2019",2019-01-01,"2019",474516.650002,157384.615384615,1,361.5,"Nigeria",4.52218849556078,0.662388045404473,232.099585062241,"0","1",18514,38335.8904787729,260,80.06,5.86002747411447,1.87577011089597,251.139637826962,-1.11513042449951
"563","Nigeria 2019",2019-02-01,"2019",474516.650002,155230.769230769,2,361,"Nigeria",4.52218849556078,0.667225441831505,225.795013850416,"0","1",18514,38335.8904787729,250.63,69.55,5.88261754166212,1.90439161388224,197.555860603048,-1.11513042449951
"564","Nigeria 2019",2019-03-01,"2019",474516.650002,157076.923076923,3,359.5,"Nigeria",4.52218849556078,0.672469945878634,230.50926286509,"0","1",18514,38335.8904787729,247.5,67.91,5.93718234589647,1.89550576140926,199.632557259975,-1.11513042449951
"565","Nigeria 2019",2019-04-01,"2019",474516.650002,162153.846153846,4,356,"Nigeria",4.52218849556078,0.67881603525073,231.421348314607,"0","1",18514,38335.8904787729,247.5,62.49,6.03063494109328,1.9682208889113,303.647944412276,-1.11513042449951
"566","Nigeria 2019",2019-05-01,"2019",474516.650002,162153.846153846,5,356,"Nigeria",4.52218849556078,0.686359499976053,230.562078651685,"0","1",18514,38335.8904787729,247.5,59.42,6.03063494109328,1.97555614763927,187.944998247939,-1.11513042449951
"567","Nigeria 2019",2019-06-01,"2019",474516.650002,166615.384615385,6,355,"Nigeria",4.52218849556078,0.693735332151923,226.916056338028,"0","1",18514,38335.8904787729,247.5,52.96,6.09510465710019,2.06833804168303,179.555726129877,-1.11513042449951
"568","Nigeria 2019",2019-07-01,"2019",474516.650002,170307.692307692,7,359.5,"Nigeria",4.52218849556078,0.700751951721826,214.517385257302,"0","1",18514,38335.8904787729,263.5,52.73,6.04137825766657,2.20837526819192,142.617345352813,-1.11513042449951
"569","Nigeria 2019",2019-08-01,"2019",474516.650002,180307.692307692,8,358,"Nigeria",4.52218849556078,0.70767278126347,204.096089385475,"0","1",18514,38335.8904787729,262.5,51.85,6.17858211999178,2.46772377327598,251.860550458716,-1.11513042449951
"570","Nigeria 2019",2019-09-01,"2019",474516.650002,190461.538461538,9,358,"Nigeria",4.52218849556078,0.715048613439341,229.486033519553,"0","1",18514,38335.8904787729,237.75,58.19,6.37763238865764,2.31829128075294,291.432560167325,-1.11513042449951
"571","Nigeria 2019",2019-10-01,"2019",474516.650002,205384.615384615,10,360,"Nigeria",4.52218849556078,0.722687868192921,224.122222222222,"0","1",18514,38335.8904787729,237,59.12,6.50283073506534,2.54554329711734,266.519278339548,-1.11513042449951
"572","Nigeria 2019",2019-11-01,"2019",474516.650002,200769.230769231,11,360,"Nigeria",4.52218849556078,0.730087647875856,248.4,"0","1",18514,38335.8904787729,224.5,63.47,6.50186925632605,2.24513811470333,346.513943827564,-1.11513042449951
"573","Nigeria 2019",2019-12-01,"2019",474516.650002,188461.538461538,12,359,"Nigeria",4.52218849556078,0.73631399971263,218.954874651811,"0","1",18514,38335.8904787729,217.5,56.01,6.42150296242491,2.39758307967883,276.662917398946,-1.11513042449951
