GDP,LocalUreaPrice,ExchangeRate,RealInterest,CPI,LocalMaizePrice,LocalMaizeYield,ForexRev,WorldUreaPrice,WorldGasPrice,Wedge,UreaMaizeRatio,CorruptionControl,ExchangeRateMovements,CPIMovements,CR4ratioAnnual,MonthlyUreaImportMT,NumFirmsImportingFert,FuelPrice,SharePrivateSectorSalesAnnual
63702.35091,427.0613108,2.365,15.66666667,0.388670266,332.6004228,17240,3170496391,305,117.45,5.497687426,1.284007119,-0.096591435,0.045678731,0.010176398,0.93,120,23,3.0454,1
63702.35091,463.2417659,2.1587,15.66666667,0.373295507,336.6841154,17240,3170496391,301,107.52,5.782244283,1.375894331,-0.096591435,0.022060235,-0.006840975,0.93,120,23,3.0454,1
63702.35091,414.7171416,1.8808,15.66666667,0.354992221,413.3347512,17240,3170496391,380,107.61,4.240588097,1.003344482,-0.096591435,0.001383347,0.035957161,0.93,120,23,3.0454,1
63702.35091,482.4289634,2.2594,15.66666667,0.38473506,326.7681685,17240,3170496391,305,108.65,5.871725445,1.476364621,-0.096591435,0.028188581,0.007880638,0.93,120,23,3.0454,1
63702.35091,578.6694826,1.894,15.66666667,0.358286812,415.31151,17240,3170496391,415.63,107.54,5.787148981,1.393338419,-0.096591435,0.006993777,0.009237941,0.93,120,23,3.0454,1
54722.86533,431.8918919,3.7,18.66666667,0.436624874,271.6486486,17291,3389262305,305,103.07,5.536498186,1.589891553,-0.194918543,0.087502898,0.01541904,0.93,110,14,3.0454,1
54722.86533,444.7735146,3.7817,18.66666667,0.435618193,312.6107306,17291,3389262305,311.25,101.28,5.587438804,1.422771105,-0.194918543,0.021840824,-0.002308258,0.93,110,14,3.0454,1
54722.86533,551.168815,3.2041,18.66666667,0.434794546,368.9647639,17291,3389262305,317.5,101.76,6.147056551,1.493825072,-0.194918543,-0.165742404,-0.001892546,0.93,198,14,3.0454,1
54722.86533,581.2857412,3.1826,18.66666667,0.446417132,371.4572991,17291,3389262305,317.5,103.02,6.268287961,1.564879039,-0.194918543,-0.006732767,0.026380178,0.93,480,14,3.0454,1
54722.86533,592.1522677,3.181,18.66666667,0.450260822,329.7076391,17291,3389262305,317.5,102.66,6.308656311,1.795991956,-0.194918543,-0.00050286,0.008573231,0.93,480,14,3.0454,1
