"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Model"
"16","factor(Year)2011",0.125252816922131,0.0400509456428984,3.12733731779788,0.0018281533746472,0.0467544059152785,0.203751227928983,"NationalPrice"
"17","factor(Year)2012",0.300325928631668,0.0427146638494611,7.03097956453793,4.41620676600728e-12,0.21660672587499,0.384045131388347,"NationalPrice"
"18","factor(Year)2013",0.300649777537986,0.0460137769782735,6.53390782677859,1.14281625375141e-10,0.210464431867911,0.39083512320806,"NationalPrice"
"19","factor(Year)2014",0.289083036646017,0.0520370260770387,5.5553335468872,3.77928732397136e-08,0.18709233967245,0.391073733619585,"NationalPrice"
"20","factor(Year)2015",0.461688948190146,0.0471563421190439,9.79060137922985,1.89407260907231e-21,0.369264215994171,0.554113680386121,"NationalPrice"
"21","factor(Year)2016",0.51142941317308,0.0486705701022764,10.5079807386345,2.8272734582677e-24,0.416036848665587,0.606821977680574,"NationalPrice"
"22","factor(Year)2017",0.323720971059459,0.0536382444344828,6.03526410068981,2.43117940749132e-09,0.218591943773917,0.428849998345001,"NationalPrice"
"23","factor(Year)2018",0.275190708571421,0.0621219597336686,4.42984589911889,1.07493748032333e-05,0.153433904844383,0.396947512298458,"NationalPrice"
"24","factor(Year)2019",0.362792821819149,0.064639888227701,5.61252241868322,2.753708970286e-08,0.236100968928161,0.489484674710138,"NationalPrice"
"25","factor(Year)2020",0.444551776607377,0.0637626957952573,6.97197273519987,6.56712101844303e-12,0.319579189291489,0.569524363923265,"NationalPrice"
"26","factor(Year)2021",0.19359568417935,0.0807623268625751,2.39710384408279,0.0167548459091956,0.0353044322210508,0.351886936137649,"NationalPrice"
"27","factor(Year)2022",0.35907530403744,0.108291366069427,3.31582578621487,0.000955117627414997,0.14682812670472,0.571322481370159,"NationalPrice"
"28","factor(Year)2023",0.79590823779629,0.128631495997503,6.18750665709231,9.77315543917513e-10,0.543795138363677,1.0480213372289,"NationalPrice"
"29","log(WorldGasPrice)",-1.08196015273527,0.319798562905508,-3.38325520573073,0.000751285618138366,-1.70875381833773,-0.455166487132804,"Wedge"
"30","log(FuelPrice)",1.91267377791083,0.524448262523361,3.64702090671077,0.00028254016995774,0.884774071610439,2.94057348421123,"Wedge"
"31","lag(log(LocalMaizePrice))",1.18664041013408,0.28909147948199,4.10472287962402,4.46506150126883e-05,0.620031522111983,1.75324929815618,"Wedge"
"32","SharePrivateSectorSalesAnnual",-1.22415233462146,0.399152329594939,-3.06688009528525,0.00223615761578407,-2.0064765249728,-0.441828144270115,"Wedge"
"33","log(MonthlyUreaImportMT)",-0.0377278250610055,0.0262867951335373,-1.43523867665676,0.151611402847438,-0.0892489967917214,0.0137933466697104,"Wedge"
"34","log(NumFirmsImportingFert)",0.707024548308821,0.322523431893381,2.19216490460311,0.0286561262312452,0.0748902376275371,1.3391588589901,"Wedge"
"35","ExchangeRateMovements",-1.13374204282859,1.20227594818417,-0.942996526330672,0.345968433667852,-3.49015960074831,1.22267551509113,"Wedge"
"36","CPIMovements",0.981803686403179,2.04041306286102,0.481178886899752,0.630521438258988,-3.01733243038948,4.98093980319584,"Wedge"
"37","log(GDP)",1.50971775520774,0.789228588948801,1.91290302498871,0.0561185613741173,-0.0371418547012801,3.05657736511675,"Wedge"
"38","log(RealInterest)",-0.460694500539851,0.205257454014776,-2.24447147486633,0.0250757081070748,-0.862991717967198,-0.0583972831125045,"Wedge"
"39","log(ForexRev)",-1.33328293188011,0.375407394084172,-3.55156278989318,0.000405432924220748,-2.06906790381512,-0.5974979599451,"Wedge"
"40","ElectionYr1",0.468630007181272,0.182373929579076,2.56961073472992,0.0103620106048403,0.111183673487239,0.826076340875306,"Wedge"
"41","OneYrAfterElectionYr1",0.517466952354427,0.167308205799614,3.09289642956425,0.00205125299974013,0.189548894669168,0.845385010039686,"Wedge"
"42","CorruptionControl",-0.415906860634674,0.694174828975745,-0.599138492601849,0.549250796179667,-1.77646452440139,0.944650803132038,"Wedge"
