"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Manufacturing","Importing","Blending","Wholesaling","Retailing","Election0","Election1","WorldPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"77","Ghana 2016",2016-05-01,"2016",56165.172896,564.726163540239,5,3.8451,"Ghana",0,0.587901528324334,494.135393097709,0,3,3,3,100,"0","1",198.38,366.346163540239,1.14285714285714,883.224684848112,-0.175110563635826
"78","Ghana 2016",2016-03-01,"2016",56165.172896,566.567299478758,3,3.8242,"Ghana",0,0.573350416399744,460.88070707599,0,3,3,3,100,"0","1",201.75,364.817299478758,1.22931442080378,374.589147286822,-0.175110563635826
"79","Ghana 2016",2016-11-01,"2016",56165.172896,498.442367601246,11,4.28,"Ghana",0,0.611604282968793,350.467289719626,0,3,3,3,100,"0","1",205,293.442367601246,1.42222222222222,717.356687898089,-0.175110563635826
"80","Ghana 2017",2017-07-01,"2017",60403.027568,493.176441577856,7,4.3257,"Ghana",0,0.672188157774321,369.882331183392,0,3,3,3,100,"1","0",181,312.176441577856,1.33333333333333,284.185800987853,-0.253569841384888
"81","Ghana 2017",2017-12-01,"2017",60403.027568,402.334171793523,12,4.5094,"Ghana",0,0.690399926786858,332.638488490708,0,3,3,3,100,"1","0",214.63,187.704171793523,1.20952380952381,286.777133429733,-0.253569841384888
"82","Ghana 2017",2017-09-01,"2017",60403.027568,444.738402590886,9,4.3846,"Ghana",0,0.670906927793539,364.913561100214,0,3,3,3,100,"1","0",219,225.738402590886,1.21875,374.643874643875,-0.253569841384888
"83","Ghana 2017",2017-02-01,"2017",60403.027568,413.04347826087,2,4.6,"Ghana",0,0.638510112565205,288.04347826087,0,3,3,3,100,"1","0",191.88,221.16347826087,1.43396226415094,679.936305732484,-0.253569841384888
"84","Ghana 2017",2017-11-01,"2017",60403.027568,389.45410786566,11,4.5705,"Ghana",0,0.683444678319759,295.372497538563,0,3,3,3,100,"1","0",280,109.45410786566,1.31851851851852,144.494270054808,-0.253569841384888
"85","Ghana 2017",2017-01-01,"2017",60403.027568,429.950896318399,1,4.2563,"Ghana",0,0.634483389768463,281.935013979278,0,3,3,3,100,"1","0",233.75,196.200896318399,1.525,236.639977181509,-0.253569841384888
"86","Ghana 2017",2017-04-01,"2017",60403.027568,484.023264855944,4,4.2009,"Ghana",0,0.657087947286538,342.783689209455,0,3,3,3,100,"1","0",207.88,276.143264855944,1.41203703703704,488.592718199544,-0.253569841384888
"87","Ghana 2017",2017-05-01,"2017",60403.027568,492.287495897604,5,4.2658,"Ghana",0,0.661846801500869,351.633925641146,0,3,3,3,100,"1","0",178.75,313.537495897604,1.4,285.452649285538,-0.253569841384888
"88","Ghana 2017",2017-10-01,"2017",60403.027568,430.154396751474,10,4.3589,"Ghana",0,0.677221561270248,314.804193718599,0,3,3,3,100,"1","0",252.5,177.654396751474,1.36641888937473,260.00841722969,-0.253569841384888
"89","Ghana 2017",2017-08-01,"2017",60403.027568,473.506200676437,8,4.435,"Ghana",0,0.670906927793539,360.76662908681,0,3,3,3,100,"1","0",192.63,280.876200676437,1.3125,376.2,-0.253569841384888
"90","Ghana 2017",2017-06-01,"2017",60403.027568,480.004208256072,6,4.3452,"Ghana",0,0.667886885695983,359.592193684986,0,3,3,3,100,"1","0",191,289.004208256072,1.33485714285714,435.564943167194,-0.253569841384888
"91","Ghana 2017",2017-03-01,"2017",60403.027568,469.526932372728,3,4.3306,"Ghana",0,0.646655074585888,323.280838682862,0,3,3,3,100,"1","0",223.5,246.026932372728,1.45238095238095,263.280423280423,-0.253569841384888
"92","Ghana 2018",2018-01-01,"2018",67277.027642,394.883203559511,1,4.495,"Ghana",0,0.700192184497117,333.704115684093,0,3,3,3,100,"0","0",219.63,175.253203559511,1.18333333333333,119.840954621844,-0.138242349028587
"93","Ghana 2018",2018-08-01,"2018",67277.027642,387.310045391751,8,4.7292,"Ghana",0,0.722064610597602,346.781696692887,0,3,3,3,100,"0","0",260,127.310045391751,1.11686991869919,177.851119894598,-0.138242349028587
"94","Ghana 2018",2018-10-01,"2018",67277.027642,381.217558695129,10,4.8485,"Ghana",0,0.724718586986364,274.311642776116,0,3,3,3,100,"0","0",270,111.217558695129,1.38972431077694,292.428395781269,-0.138242349028587
"95","Ghana 2018",2018-05-01,"2018",67277.027642,381.236673773987,5,4.69,"Ghana",0,0.713370550013728,350.618336886994,0,3,3,3,100,"0","0",221.88,159.356673773987,1.08732668450499,138.028169014085,-0.138242349028587
"96","Ghana 2018",2018-03-01,"2018",67277.027642,395.117654460803,3,4.415,"Ghana",0,0.704584973002654,372.457531143828,0,3,3,3,100,"0","0",232.5,162.617654460803,1.06083948214817,218.612286778188,-0.138242349028587
