"","Year","Dates","cy","GDP","LocalUreaPrice","Month","ExchangeRate","Country","RealInterest","CPI","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsImportingFert","FuelPrice","SharePrivateSectorSalesAnnual"
"30","2012",2012-12-01,"Ghana 2012",55512.769978,393.994249813651,12,1.8782,"Ghana",14.4583333333333,0.342454470577469,426.152699393036,"0","1",18712,3233092455.67319,375.83,107.04,3.59335940077204,0.924537731134433,396.847801786441,-0.126568555831909,-0.00589251870875895,0.00778005265695492,0.93,120,23,1.62144606538175,1
"31","2013",2013-03-01,"Ghana 2013",63702.350905,615.866388308977,3,1.916,"Ghana",15.6666666666667,0.360025624599616,406.941544885178,"1","0",17240,3170496390.91896,395.63,113.68,6.0878537965393,1.51340259074003,316.821635360264,-0.0965914353728294,0.0115486847847823,0.00484139052410115,0.93,120,23,1.58945720250522,1
"32","2013",2013-04-01,"Ghana 2013",63702.350905,569.858900206446,4,1.9537,"Ghana",15.6666666666667,0.365699643085934,397.911654808824,"1","0",17240,3170496390.91896,365.63,122.81,6.01239459899358,1.43212417459909,323.03261248961,-0.0965914353728294,0.019485331066784,0.0156371408194396,0.93,120,23,1.55878589343297,1
"33","2013",2013-06-01,"Ghana 2013",63702.350905,497.265042267529,6,2.011,"Ghana",15.6666666666667,0.373844605106617,371.705619094978,"1","0",17240,3170496390.91896,329.38,114.37,5.81643552325139,1.33779264214047,377.746472573548,-0.0965914353728294,0.0221734115168051,0.0147968174414395,0.93,120,23,1.51437095972153,1
"34","2013",2013-08-01,"Ghana 2013",63702.350905,479.888867841131,8,2.1116,"Ghana",15.6666666666667,0.375857966504988,342.015533244933,"1","0",17240,3170496390.91896,310.63,107.5,5.82458521223176,1.40312009600295,191.546341554769,-0.0965914353728294,0.0102818879906046,-0.00727805250485281,0.93,120,23,1.44222390604281,1
"35","2013",2013-05-01,"Ghana 2013",63702.350905,599.928822004169,5,1.9669,"Ghana",15.6666666666667,0.368353619474696,384.717067466572,"1","0",17240,3170496390.91896,358.13,118.48,6.18125752286415,1.55940266948593,390.422016022526,-0.0965914353728294,0.00673368865825719,0.00723105008421976,0.93,120,23,1.54832477502669,1
"36","2013",2013-10-01,"Ghana 2013",63702.350905,482.563962487481,10,2.1966,"Ghana",15.6666666666667,0.381715017845703,336.110352362742,"1","0",17240,3170496390.91896,296.88,109.03,5.91720053351873,1.43573073276446,196.940480781592,-0.0965914353728294,0.017404521713414,0.0223039548793869,0.93,120,23,1.38641536920696,1
"37","2013",2013-07-01,"Ghana 2013",63702.350905,478.468899521531,7,2.09,"Ghana",15.6666666666667,0.378603459320948,341.148325358852,"1","0",17240,3170496390.91896,312.5,110.09,5.80495667479512,1.40252454417952,269.260465116279,-0.0965914353728294,0.0385319551862046,0.0126491591673081,0.93,120,23,1.45712918660287,1
"38","2013",2013-12-01,"Ghana 2013",63702.350905,427.061310782241,12,2.365,"Ghana",15.6666666666667,0.388670266312803,332.600422832981,"1","0",17240,3170496390.91896,305,117.45,5.49768742572229,1.28400711924739,295.805548708205,-0.0965914353728294,0.0456787306332052,0.0101763983164295,0.93,120,23,1.2876955602537,1
"39","2013",2013-09-01,"Ghana 2013",63702.350905,463.241765877611,9,2.1587,"Ghana",15.6666666666667,0.373295506543425,336.684115439848,"1","0",17240,3170496390.91896,301,107.52,5.78224428273993,1.37589433131535,321.007081112673,-0.0965914353728294,0.0220602346913703,-0.00684097463900024,0.93,120,23,1.41075647380368,1
"40","2013",2013-01-01,"Ghana 2013",63702.350905,414.717141641855,1,1.8808,"Ghana",15.6666666666667,0.354992221103688,413.334751169715,"1","0",17240,3170496390.91896,380,107.61,4.24058809716983,1.00334448160535,301.91235488144,-0.0965914353728294,0.00138334685534647,0.0359571606059321,0.93,120,23,1.61920459378988,1
"41","2013",2013-11-01,"Ghana 2013",63702.350905,482.428963441622,11,2.2594,"Ghana",15.6666666666667,0.38473505994326,326.768168540321,"1","0",17240,3170496390.91896,305,108.65,5.87172544460292,1.4763646214276,234.154481470971,-0.0965914353728294,0.0281885809385828,0.00788063779989645,0.93,120,23,1.34787996813313,1
"42","2013",2013-02-01,"Ghana 2013",63702.350905,578.669482576558,2,1.894,"Ghana",15.6666666666667,0.358286812482841,415.311510031679,"1","0",17240,3170496390.91896,415.63,107.54,5.78714898120391,1.39333841851004,443.428572508436,-0.0965914353728294,0.00699377652016375,0.00923794098493613,0.93,120,23,1.60791974656811,1
"43","2014",2014-07-01,"Ghana 2014",54722.865328,431.891891891892,7,3.7,"Ghana",18.6666666666667,0.436624874164913,271.648648648649,"0","0",17291,3389262304.53766,305,103.07,5.53649818564987,1.5898915530793,298.31536220592,-0.194918543100357,0.0875028982578199,0.0154190402972491,0.93,110,14,0.823081081081081,1
"44","2014",2014-08-01,"Ghana 2014",54722.865328,444.773514556945,8,3.7817,"Ghana",18.6666666666667,0.435618193465727,312.610730623794,"0","0",17291,3389262304.53766,311.25,101.28,5.58743880406731,1.42277110472001,343.304946844546,-0.194918543100357,0.0218408243303767,-0.00230825829064141,0.93,110,14,0.805299204061665,1
"45","2014",2014-09-01,"Ghana 2014",54722.865328,551.168814955838,9,3.2041,"Ghana",18.6666666666667,0.434794545620939,368.964763896258,"0","0",17291,3389262304.53766,317.5,101.76,6.14705655133335,1.49382507189985,171.979529302296,-0.194918543100357,-0.165742404275228,-0.00189254603854438,0.93,198,14,0.950469710683187,1
"46","2014",2014-10-01,"Ghana 2014",54722.865328,581.285741217872,10,3.1826,"Ghana",18.6666666666667,0.446417131875172,371.457299063659,"0","0",17291,3389262304.53766,317.5,103.02,6.26828796071236,1.56487903907968,291.479709294452,-0.194918543100357,-0.00673276691138081,0.0263801775889443,0.93,480,14,0.956890592597248,1
"47","2014",2014-11-01,"Ghana 2014",54722.865328,592.152267725987,11,3.181,"Ghana",18.6666666666667,0.450260821817516,329.707639107199,"0","0",17291,3389262304.53766,317.5,102.66,6.30865631124418,1.79599195617502,162.890231621349,-0.194918543100357,-0.000502860026939222,0.00857323071048832,0.93,480,14,0.957371895630305,1
"48","2014",2014-12-01,"Ghana 2014",54722.865328,602.915951972556,12,3.18,"Ghana",18.6666666666667,0.454745126750252,329.811320754717,"0","0",17291,3389262304.53766,308.13,99,6.37939956389943,1.82806324110672,137.510112359551,-0.194918543100357,-0.000314415974921545,0.00991008211596667,0.93,480,14,0.957672955974843,1
"49","2014",2014-01-01,"Ghana 2014",54722.865328,461.603375527426,1,2.37,"Ghana",18.6666666666667,0.403953509654983,344.514767932489,"0","0",17291,3389262304.53766,330,123.48,5.57295428335394,1.33986527862829,300.939826631926,-0.194918543100357,0.0021119332031434,0.0385684565034107,0.93,480,14,1.28497890295359,1
"50","2014",2014-02-01,"Ghana 2014",54722.865328,461.05675146771,2,2.555,"Ghana",18.6666666666667,0.408529331014917,343.874755381605,"0","0",17291,3389262304.53766,353.13,137.61,5.37462141231596,1.34076940587298,246.439024390244,-0.194918543100357,0.0751622685086281,0.011263917244465,0.93,480,14,1.1919373776908,1
"51","2014",2014-03-01,"Ghana 2014",54722.865328,472.552984348087,3,2.6706,"Ghana",18.6666666666667,0.412281504530063,351.381711974837,"0","0",17291,3389262304.53766,327.5,122.17,5.67025814724149,1.34484228473998,229.183374166771,-0.194918543100357,0.0442509426120586,0.00914266598129143,0.93,120.5,14,1.14034299408373,1
"52","2014",2014-04-01,"Ghana 2014",54722.865328,477.304964539007,4,2.82,"Ghana",18.6666666666667,0.41941978585156,336.843971631206,"0","0",17291,3389262304.53766,260,118.66,6.07445420819875,1.41699126223813,301.808115351585,-0.194918543100357,0.0544337186822957,0.0171659144666858,0.93,120.5,14,1.07992907801418,1
"53","2014",2014-05-01,"Ghana 2014",54722.865328,478.260869565217,5,2.99,"Ghana",18.6666666666667,0.422988926512309,336,"0","0",17291,3389262304.53766,265,114.95,6.05566883348267,1.42339544513458,175.72987012987,-0.194918543100357,0.0585365024525728,0.00847370632520195,0.93,120,14,1.01852842809365,1
"54","2014",2014-06-01,"Ghana 2014",54722.865328,446.607669616519,6,3.39,"Ghana",18.6666666666667,0.429944174979409,296.489675516224,"0","0",17291,3389262304.53766,288.75,112.86,5.75485101472483,1.50631777932544,160.415584415584,-0.194918543100357,0.125556533989764,0.0163093743845321,0.93,240,14,0.89834808259587,1
"55","2015",2015-01-01,"Ghana 2015",50033.911736,585.858585858586,1,3.33,"Ghana",23,0.470394435801226,350.870870870871,"0","0",19218,3754903073.77202,305,91.06,6.33100163934106,1.66972705486913,232.727272727273,-0.210319384932518,0.046091107200267,0.0338344668468902,0.9,4491.436,17,0.8754004004004,0.391834912165152
"56","2015",2015-02-01,"Ghana 2015",50033.911736,567.012987012987,2,3.5,"Ghana",23,0.475976937860346,339.085714285714,"0","0",19218,3754903073.77202,305,83.52,6.2615448934424,1.67218187946196,180.075632920528,-0.210319384932518,0.0497906645030155,0.0117978353238617,0.9,4491.436,17,0.832880952380952,0.391834912165152
"57","2015",2015-09-01,"Ghana 2015",50033.911736,593.582887700535,9,3.74,"Ghana",23,0.510295598059852,472.299465240642,"0","0",19218,3754903073.77202,279.38,68.96,6.44318862930051,1.25679347826087,258.959541477148,-0.210319384932518,-0.0809883731018217,-0.00143369200184873,0.9,110,17,0.779434046345811,0.391834912165152
