"","Year","Dates","cy","GDP","LocalUreaPrice","Month","ExchangeRate","Country","RealInterest","CPI","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsImportingFert","FuelPrice","SharePrivateSectorSalesAnnual"
"789","2013",2013-03-01,"Tanzania 2013",46749.830038,1364392.5,3,1577.400024,"Tanzania",5.64864168084363,0.690311582536225,422.021910657712,"0","0",13000,4673.72980918131,395.63,113.68,6.84446064132015,2.04956870402066,392.64516133025,-0.780951321125031,-0.0143506536160496,0.00495118601880062,0.66,16498.42,13,2086.8,1
"790","2013",2013-04-01,"Tanzania 2013",46749.830038,1288177.77777778,4,1587,"Tanzania",5.64864168084363,0.693531584430344,384.865333333333,"0","0",13000,4673.72980918131,365.63,122.81,6.79363828059627,2.10906557146204,397.911654808824,-0.780951321125031,0.00606750434760794,0.00465371767885675,0.66,16498.42,13,2086.8,1
"791","2013",2013-05-01,"Tanzania 2013",46749.830038,1297961.73913043,5,1587.900024,"Tanzania",5.64864168084363,0.689459229093664,325.89581471031,"0","0",13000,4673.72980918131,358.13,118.48,6.82280344857432,2.50818722943376,384.717067466572,-0.780951321125031,0.000566962119943781,-0.00588921787033825,0.66,16498.42,13,2086.8,1
"792","2013",2013-06-01,"Tanzania 2013",46749.830038,1163991.11111111,6,1600.800049,"Tanzania",5.64864168084363,0.685670991571172,279.81194545803,"0","0",13000,4673.72980918131,329.38,114.37,6.67897458197792,2.59864122511793,371.705619094978,-0.780951321125031,0.00809113123286487,-0.00550965581096946,0.66,16498.42,13,2086.8,1
"793","2013",2013-07-01,"Tanzania 2013",46749.830038,1300342.5,7,1583,"Tanzania",5.64864168084363,0.685765697509234,288.461902716361,"0","0",13000,4673.72980918131,312.5,110.09,6.9254819759985,2.84766159678731,341.148325358852,-0.780951321125031,-0.0111817539982058,0.000138112009058611,0.66,16498.42,13,2086.8,1
"794","2013",2013-08-01,"Tanzania 2013",46749.830038,1201240,8,1581.400024,"Tanzania",5.64864168084363,0.685386873756985,303.522446386405,"0","0",13000,4673.72980918131,310.63,107.5,6.80011652170123,2.50263336514536,249.261829652997,-0.780951321125031,-0.00101123506776002,-0.000552562522692923,0.66,16498.42,13,2086.8,1
"795","2013",2013-09-01,"Tanzania 2013",46749.830038,1258500,9,1571.900024,"Tanzania",5.64864168084363,0.688701581589166,309.86125107407,"0","0",13000,4673.72980918131,301,107.52,6.90700287095649,2.5838127043301,373.416342573411,-0.780951321125031,-0.0060254518109133,0.00482460099118698,0.66,16498.42,13,2086.8,1
"796","2013",2013-10-01,"Tanzania 2013",46749.830038,1268380,10,1573.900024,"Tanzania",5.64864168084363,0.692584525049721,312.000818674617,"0","0",13000,4673.72980918131,296.88,109.03,6.92560296336528,2.58295303617192,336.110352362742,-0.780951321125031,0.0012715368039613,0.00562222941363638,0.66,16498.42,13,2086.8,1
"797","2013",2013-11-01,"Tanzania 2013",46749.830038,1217620,11,1576.199951,"Tanzania",5.64864168084363,0.6966568803864,310.914248975256,"0","0",13000,4673.72980918131,305,108.65,6.84055518844857,2.48461920277421,323.146303440194,-0.780951321125031,0.00146022502582266,0.00586272045326069,0.66,16498.42,13,2086.8,1
"798","2013",2013-12-01,"Tanzania 2013",46749.830038,1212265,12,1551.900024,"Tanzania",5.64864168084363,0.70565394450232,323.452171040111,"0","0",13000,4673.72980918131,305,117.45,6.85887890821497,2.41503681871066,371.313249835829,-0.780951321125031,-0.0155368536896301,0.0128319448295158,0.66,16498.42,13,2086.8,1
