Date,Open,High,Low,Close,Adj Close,Volume
2020/3/1,14.846469,18.061897,14.846469,17.862537,17.862537,0
2020/2/1,14.796292,15.022525,14.409288,14.903912,14.903912,0
2020/1/1,14.102502,14.805756,13.894689,14.805756,14.805756,0
2019/12/1,14.580669,15.43975,13.08138,14.031463,14.031463,0
2019/11/1,13.25579,14.633067,13.239044,14.606188,14.606188,0
2019/10/1,13.141,13.258524,12.942,13.231676,13.231676,0
2019/9/1,13.028,13.228,12.95,13.127,13.127,0
2019/8/1,12.915,13.128,12.77,13.049,13.049,0
2019/7/1,12.806,12.966,12.415,12.868,12.868,0
2019/6/1,13.389,13.424,12.723,12.894,12.894,0
2019/5/1,12.676,13.816,12.676,13.413,13.413,0
2019/4/1,12.117,12.716,11.977,12.714,12.714,0
2019/3/1,12.031,12.166,11.894,12.131,12.131,0
2019/2/1,11.941,12.034,11.765,12.016,12.016,0
2019/1/1,11.852,12.055,11.78,11.922,11.922,0
2018/12/1,11.983,12.019,11.711,11.917,11.917,0
2018/11/1,11.797,12.017,11.521,12.001,12.001,0
2018/10/1,12.171,12.516,11.364,11.674,11.674,0
2018/9/1,10.161,12.234,10.161,12.125,12.125,0
2018/8/1,9.9433,10.272,9.8143,10.166,10.166,0
2018/7/1,9.9361,10.069,9.6268,10.009,10.009,0
2018/6/1,10.28,10.32,9.7505,9.948,9.948,0
2018/5/1,9.8967,10.389,9.7929,10.258,10.258,0
2018/4/1,9.4285,9.8902,9.2524,9.7345,9.7345,0
2018/3/1,9.7471,9.754,9.3912,9.467,9.467,0
2018/2/1,9.7115,9.939,9.6619,9.729,9.729,0
2018/1/1,9.9439,10.16,9.57,9.749,9.749,0
2017/12/1,10.021,10.415,9.6849,9.9439,9.9439,0
2017/11/1,10.001,10.157,9.8006,10.035,10.035,0
2017/10/1,9.6275,10.133,9.5337,9.9699,9.9699,0
2017/9/1,9.0254,9.69,9.0254,9.6282,9.6282,0
2017/8/1,8.7859,9.15,8.7859,9.036,9.036,0
2017/7/1,9.0651,9.1427,8.6744,8.8258,8.8258,0
2017/6/1,9.1992,9.335,9.07,9.1042,9.1042,0
2017/5/1,9.3069,9.3421,9.0903,9.1747,9.1747,0
